exp_id,timestamp,domain,dataset_config,n_examples,fingerprint,judge_model,embedder,chunk_config,gen_model,retrieval,rerank,context_order,context_relevance,context_utilization,completeness,adherence,judge_used,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_auroc,elapsed_s
BIO-093,2026-08-07T01:33:21Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,hybrid,none,sides,0.717,0.14,0.207,0.64,1,0.6213,0.2796,0.6606,0.4848,62.8
BIO-094,2026-08-07T01:36:00Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.73,0.287,0.36,0.7,1,0.6318,0.4084,0.6226,0.5152,155.8
BIO-095,2026-08-07T01:37:18Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.703,0.247,0.347,0.72,1,0.6128,0.3646,0.6111,0.5303,75.8
BIO-096,2026-08-07T01:38:14Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_200w,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.697,0.3,0.407,0.72,1,0.6103,0.419,0.5957,0.5303,52.7
BIO-001,2026-08-07T19:06:22Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.285,0.16,0.601,0.771,1,0.2218,0.1957,0.4888,0.5675,6652.7
BIO-002,2026-08-07T20:50:56Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.297,0.152,0.553,0.824,1,0.2243,0.1903,0.4808,0.6032,6270.5
BIO-003,2026-08-07T22:21:18Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.282,0.162,0.607,0.802,1,0.2298,0.2015,0.4869,0.5504,5418.9
BIO-004,2026-08-07T23:28:50Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.291,0.151,0.552,0.801,1,0.2398,0.1932,0.4605,0.6277,4048.6
BIO-005,2026-08-08T00:46:48Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.274,0.15,0.596,0.8,1,0.2123,0.1881,0.4788,0.5912,4675.3
BIO-006,2026-08-08T01:45:07Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.285,0.152,0.566,0.796,1,0.2232,0.1883,0.4652,0.5486,3495.6
BIO-007,2026-08-08T02:50:12Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.277,0.157,0.583,0.827,1,0.2314,0.1863,0.4786,0.5531,2287.2
BIO-007,2026-08-08T03:53:23Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.277,0.157,0.583,0.827,1,0.2314,0.1863,0.4786,0.5531,0
BIO-015,2026-08-08T05:00:53Z,biomedical,covidqa,200,90bb5116a9c17305,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,dense,none,sides,0.282,0.145,0.555,0.81,1,0.23,0.1801,0.4785,0.5895,3579.4
